"%s was successfully added to your shopping cart.","%s a fost adaugat in cos."
"Shopping Cart is Empty","Cosul de cumparaturi este gol"
"My Cart","Cosul meu"
"My Cart (%s item)","Cosul meu (%s produs)"
"My Cart (%s items)","Cosul meu (%s produse)"
"Create Billing Address","Creaza adresa de facturare"
"Create Shipping Address","Creaza adresa de livrare"
"Checkout as Guest","Cumpara fara inregistrare"
"Checkout as a Guest or Register","Cumpara fara inregistrare sau Inregistreaza-te"
"Checkout with Multiple Addresses","Cumparaturi cu adrese multiple"
"Fast and easy check out","Cumperi rapid si usor"
"Coupon code ""%s"" is not valid.","Cuponul ""%s"" nu este valid."
"Coupon code was canceled successfully.","Cuponul a fost anulat cu succes."
"Coupon code was applied successfully.","Cuponul a fost folosit cu succes."
"Enter your coupon code if you have one.","Daca beneficiezi de un cupon de reducere, introdu codul aici."
"Invalid data","Date gresite"
"Review Order","Detalii comanda"
"Order Review","Detalii comanda"
"Review Order - %s","Detalii comanda - %s"
"Load customer quote error","Eroare la incarcare"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Este <a href=""%s""><strong>1 produs</strong></a> in cos."
"Already registered?","Esti deja inregistrat?"
"Are you sure you would like to remove this item from the shopping cart?","Esti sigur ca vrei sa stergi produsul din cos?"
"There is already a customer registered using this email address","Exista deja un client inregistrat cu aceasta adresa de e-mail"
"Default Billing","Facturare standard"
"Fax","Fax"
"Checkout","Finalizare comanda"
"Place Order","Finalizeaza comanda"
"Company","Firma"
"Use Billing Address","Foloseste adresa de facturare"
"Apply Coupon","Foloseste cupon"
"Configurable product image","Imagine produs configurabil"
"Grouped product image","Imagine produs grupat"
"Back","inapoi"
"Back to Shipping Information","inapoi la informatii de livrare"
"Close","Inchide"
"Billing Information","Informatii de facturare"
"Billing Information - %s","Informatii de facturare - %s"
"Shipping Information","Informatii de livrare"
"Payment Information","Informatii de plata"
"Register","Inregistreaza-te"
"Register with us for future convenience:","Inregistreaza-te pentru a-ti fi mai simplu cand ne vizitezi data viitoare."
"Register to Create an Account","Inregistreaza-te si creaza-ti un cont"
"Register and save time!","Inregistreaza-te si economiseste!"
"Please enter a coupon code.","Introdu codul cuponului."
"Please enter a coupon code.","Introdu codul cuponului."
"Enter your destination to get a shipping estimate.","Introdu destinatia pentru a afla costul estimativ al transportului."
"Enter a New Address","Introdu o noua adresa"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Introdu un cod postal corect. De exemplu 600050."
"Thank you for your purchase!","Iti multumim pentru comanda facuta!"
"State/Province","Judetul"
"Based on your selection, you may be interested in the following items:","Le Createur iti mai recomanda:"
"Shipping to","Livrare catre"
"Ship to this address","Livrare la aceasta adresa"
"Ship to Multiple Addresses","Livrare la adrese multiple"
"Ship to different address","Livrare la o adresa diferita"
"Default Shipping","Livrare standard"
"Login","Login"
"Please log in below:","Login:"
"Checkout method","Medode de cumparare"
"Shipping Method","Metoda de livrare"
"Invalid shipping method.","Metoda de livrare gresita."
"Shipping method has not been selected yet","Metoda de livrare nu a fost aleasa inca"
"Payment Method","Metoda de plata"
"Shipping Methods","Metode de livrare"
"Edit","Modifica"
"Change Shipping Method","Modifica"
"Change Shipping Address","Modifica"
"Change Payment Method","Modifica"
"Change Billing Address","Modifica"
"Edit Address","Modifica adresa"
"Edit Billing Address","Modifica adresa de facturare"
"Edit Shipping Address","Modifica adresa de livrare"
"Edit Items","Modifica articole"
"Edit Your Cart","Modifica cosul"
"Move to Wishlist","Muta la favorite"
"Sorry, no quotes are available for this order at this time.","Ne pare rau, nu putem face o estimare de cost in acest moment. Te rugam sa ne contactezi pentru detalii."
"Your order # is: %s","Nr. comenzii tale este: %s"
"You have no items in your shopping cart.","Nu ai nici un produs in cos."
"Payment method is not defined","Nu este definita metoda de plata"
"Cannot update shopping cart","Nu se poate actualiza cosul"
"Can not add item to shopping cart","Nu se poate adauga produsul in cos"
"Can not apply coupon code.","Nu se poate folosi cuponul."
"Cannot move item to wishlist","Nu se poate muta articolul in lista favoritelor"
"Cannot remove item","Nu se poate sterge articolul"
"Your order number is %s","Numarul comenzii este %s"
"Last Name","Nume"
"Product Name","Nume produs"
"Checkout Options","Optiuni de achizitie"
"City","Oras"
"Password","Parola"
"Store Pickup","Preluare de la sediul nostru"
"First Name","Prenume"
"Price","Pret"
"Unit Price","Pret unitar"
"Data saving problem","Probleme cu salvarea datelor"
"Product","Produs"
"Recently added item(s)","Produse recent adaugate "
"Product does not exist","Produsul nu exista"
"Please <a href=""%s"">continue shopping</a>.","Puteti <a href=""%s"">continua cumparaturile</a>."
"After adding a product redirect to shopping cart","Redirectioneaza spre cos dupa adaugarea unui produs"
"Save in address book","Salveaza in agenda"
"Loading next step...","Se incarca pasul urmator..."
"Submitting order information...","Se introduc informatiile..."
"Select Address","Selecteaza adresa"
"Select Addresses","Selecteaza adresele"
"Select State/Province...","Selecteaza judetul..."
"Select Shipping Method","Selecteaza metoda de livrare"
"separate by "",""","separate by "","""
"Please specify the product(s) quantity","Specifica cantitatea produsului"
"Please specify the product option(s)","Specifica optiunile produsului"
"My Cart Link","Spre Cosul meu"
"Proceed to Checkout","Spre finalizarea comenzii"
"Your Checkout Progress","Stadiul de finalizare a comenzii:"
"Remove","Sterge"
"Remove Item","Sterge articol"
"Remove Product","Sterge produs"
"Street Address","Strada"
"Street Address 2","Strada 2"
"Subtotal","Subtotal"
"Cart Subtotal:","Subtotal:"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Sunt <a href=""%s""><strong>%s produse</strong></a> in cos."
"Country","Tara"
"Telephone","Telefon"
"Grand Total:","Total general:"
"Total for this address","Total pentru acesta adresa"
"Send to","Trimite catre"
"Some of the products you requested are unavailable","Unele produse solicitate nu sunt disponibile"
"Some of the products you requested are not available in the desired quantity","Unele produse solicitate nu sunt disponibile in cantitatile dorite"
"Quote Lifetime (days)","Valabilitate estimare (zile)"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vei primi un e-mail cu confirmarea comenzii si un numar de urmarire a acesteia."
"You have no items in your cart.","You have no items in your cart."
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Please agree to all Terms and Conditions before placing the order.","Trebuie sa fiti de acord cu termenii si conditiile magazinului pentru a finaliza comanda."
